country,oecd,latinAmericaAndCaribbean
Japón,92.1,
Noruega,91.9,
Países Bajos,90.1,
Eslovenia,90,
Bélgica,89.4,
Dinamarca,88.5,
Finlandia,88,
Canadá,86.7,
Irlanda,86.1,
Islandia,85.5,
Reino Unido,85.4,
Corea del Sur,84.3,
Australia,82.7,
EE. UU.,81,
Austria,79.9,
Alemania,79.8,
Nueva Zelanda,79.7,
Suecia,78.1,
España,77.5,
Francia,74.8,
Colombia,,68.7
Rep. Checa,67.5,
Jamaica,,66.4
Barbados,,65.7
Italia,65.6,
Portugal,64.8,
Bahamas,,64.4
México,,63.9
Israel,62.6,
Polonia,60.9,
Belice,,56.7
Suiza,46.7,
Eslovaquia,46.1,
Uruguay,,44.4
Hungría,44.2,
Luxemburgo,43.9,
Santa Lucía,,43.5
Chile,,41.9
Letonia,41.4,
Bolivia,,40.8
Lituania,40.3,
Antigua y Barbuda,,37.1
Estonia,36.1,
Nicaragua,,35.7
El Salvador,,32.4
Grecia,32,
Perú,,31.3
Dominica,,29.6
Costa Rica,,29.5
Guatemala,,28.1
Panamá,,27
Trinidad y Tobago,,26.1
Paraguay,,23
Honduras,,19.9
Argentina,,19.2
Guyana,,18.4
Ecuador,,18.3
Brasil,,18.2
Turquía,10.5,
Rep. Dominicana,,9.6
Surinam,,7.7
Venezuela,,5.3
OCDE,69.24,
América Latina y el Caribe,,34.74
